Borrower Number,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
1,0.1038461538461538,0.1330645161290322,0.1462450592885375,0.0933333333333333,0.0888888888888888,0.1085271317829457,0.1244813278008298,0.135593220338983,0.1111111111111111
2,0.1290322580645161,0.1379310344827586,0.1291512915129151,0.1088709677419354,0.1388888888888889,0.0877862595419847,0.1310861423220973,0.1411764705882353,0.1407407407407407
3,0.1023890784982935,0.1390977443609022,0.1291512915129151,0.1428571428571428,0.1148148148148148,0.1346153846153846,0.1244813278008298,0.1196581196581196,0.0858369098712446
4,0.1038461538461538,0.1440677966101695,0.1271186440677966,0.11328125,0.100418410041841,0.1346153846153846,0.1209677419354838,0.1076923076923077,0.1407407407407407
5,0.090566037735849,0.08,0.1271186440677966,0.1358490566037735,0.1388888888888889,0.135593220338983,0.1310861423220973,0.1111111111111111,0.1111111111111111
6,0.1023890784982935,0.1379310344827586,0.1123595505617977,0.1428571428571428,0.0888888888888888,0.0933333333333333,0.0965250965250965,0.1076923076923077,0.1407407407407407
7,0.090566037735849,0.1379310344827586,0.1123595505617977,0.1088709677419354,0.100418410041841,0.0933333333333333,0.1111111111111111,0.1076923076923077,0.1407407407407407
8,0.102880658436214,0.1440677966101695,0.1291512915129151,0.1024590163934426,0.100418410041841,0.0877862595419847,0.1286307053941908,0.1076923076923077,0.1111111111111111
9,0.090566037735849,0.1379310344827586,0.0837004405286343,0.1088709677419354,0.1094339622641509,0.0933333333333333,0.1111111111111111,0.139917695473251,0.1111111111111111
10,0.1023890784982935,0.1570247933884297,0.131578947368421,0.1349206349206349,0.1388888888888889,0.1085271317829457,0.1244813278008298,0.1111111111111111,0.1115537848605577
11,0.1023890784982935,0.1390977443609022,0.0837004405286343,0.11328125,0.1148148148148148,0.1330645161290322,0.1574803149606299,0.1076923076923077,0.1111111111111111
12,0.1548672566371681,0.1217391304347826,0.108433734939759,0.1349206349206349,0.1115702479338843,0.0933333333333333,0.1244813278008298,0.1111111111111111,0.1407407407407407
13,0.1038461538461538,0.1535580524344569,0.108433734939759,0.1428571428571428,0.1388888888888889,0.1085271317829457,0.1004366812227074,0.1196581196581196,0.1115537848605577
14,0.1290322580645161,0.1330645161290322,0.1462450592885375,0.1188524590163934,0.0995850622406639,0.1365461847389558,0.1111111111111111,0.139917695473251,0.1111111111111111
15,0.102880658436214,0.1379310344827586,0.1123595505617977,0.1349206349206349,0.1094339622641509,0.0933333333333333,0.1004366812227074,0.1076923076923077,0.1115537848605577
16,0.102880658436214,0.1440677966101695,0.1462450592885375,0.0933333333333333,0.0888888888888888,0.1085271317829457,0.0965250965250965,0.1111111111111111,0.117408906882591
17,0.090566037735849,0.1379310344827586,0.1338289962825278,0.0933333333333333,0.1148148148148148,0.1365461847389558,0.1004366812227074,0.1076923076923077,0.123015873015873
18,0.1447963800904977,0.1217391304347826,0.1462450592885375,0.1088709677419354,0.1115702479338843,0.0877862595419847,0.1244813278008298,0.135593220338983,0.123015873015873
19,0.1024590163934426,0.1379310344827586,0.1123595505617977,0.1088709677419354,0.1094339622641509,0.1330645161290322,0.1004366812227074,0.1411764705882353,0.1407407407407407
20,0.1038461538461538,0.08,0.131578947368421,0.1428571428571428,0.100418410041841,0.1335877862595419,0.1209677419354838,0.1387755102040816,0.1111111111111111
